,1,2,3,4,5,6,7,8,9,10,11,12
mean,0.06889711677413125,0.05179781757325498,0.07068439468565815,0.05644783738777648,0.05340002682401555,0.030415098960067,0.004069392377842471,0.0109451303947412,0.01879430679755843,0.037515728421841386,0.05151717644700884,0.08360919607972905
var_1,0.07939549296719652,0.05857276141108316,0.10840538691689917,0.09215075171296477,0.1068839823572949,0.08002829031853186,0.0041457734378240125,0.038143546216402854,0.04225797460415912,0.058986567914491084,0.07634590370841221,0.11186167706097572
var_6,1.636186591263631,1.0004082675550188,1.6682341366389322,1.7104687275277186,2.2004032644177696,1.01167145707818,0.05137557197460267,0.48054739678184083,0.6693316869678775,1.2522594642673512,1.4435989677454981,2.0731191181460895
var_24,14.018235574640482,7.855179455712755,10.360685698761515,11.030702325727626,15.91890241275558,7.064948957677281,0.2891452360680718,2.9714929622201685,4.595581520841032,9.49861611527207,9.76307823798086,18.073651615516955
autocorr_1_1,0.6026974063647884,0.5088984701041177,0.5375473941416744,0.6046483571808409,0.6958682477206078,0.3739743426041395,0.343363800185002,0.4300233891876743,0.47541197640348626,0.644993409496588,0.5968382097660846,0.5168797403961077
autocorr_1_6,0.538017363139943,0.44870451999201194,0.27993498168426567,0.34171176456108343,0.4037093122132738,0.30748365358198876,0.23583029957526586,0.24549497976301557,0.36596119726711124,0.47167915123950904,0.38058855889004517,0.5387283251043633
autocorr_1_24,0.2508181067835031,0.2173048256189068,0.12850805804130894,0.10506857219559951,0.18913946217709315,0.31473372958753476,0.06766092535915035,0.18914814904396385,0.1381106399995727,0.13974987108359518,0.11200145869384506,0.24819070061469567
fih_1,0.7363532466694099,0.8902079543753746,0.855483675984702,0.8553869349962558,0.932851846833998,0.9671226917831941,0.983049373708603,0.9928466938428399,0.97876574207544,0.9387375778055889,0.8731253543760317,0.8490982381207528
fiWW_6,0.8454221634186886,0.7310224627941856,0.7601758833713398,0.7756961529694779,0.71947635550672,0.6963882172832445,0.6366305615102057,0.474299204561445,0.6587107257702364,0.6677658001761524,0.7848502405719063,0.805371103908722
fiDD_24,0.8073829825257384,0.8155360849510475,0.786438837461196,0.8023878709893972,0.909434655822383,0.9441464690853093,0.9529755277287328,0.9511303792109942,0.9529553257536649,0.8628377117389583,0.8436075385097992,0.8457186249183093
M3_1,0.1990654251146008,0.10410566574727945,0.30188391818702554,0.34959979449421485,0.3427086150587695,0.3600808205015192,0.008873006343614086,0.24019344482385852,0.15659211558342537,0.13862540609613927,0.2243182992705722,0.24091524161109124
M3_6,14.00671539761109,4.439417137607643,9.467184624288185,19.169243530266783,23.34636021600935,8.310237536179827,0.19586134661549373,6.672069455623879,5.5713750601532235,9.178853750918687,11.704098595481701,11.656188857833818
M3_24,218.90715789469152,66.86446102026936,75.17637390958821,160.599645907606,268.0904998533924,91.3622864890208,1.3525549684307716,55.34274159428447,61.43300441348497,117.51433601872618,111.44482432819191,201.00620187227094
